word,lesson,audio,pos,etymology,conj_past,conj_pres,conj_fut,conj_imperf,trans_cn,trans_ja,trans_en,trans_fr,example,exam_cn,exam_ja,exam_en,exam_fr
ང་།,V01-L01,./sounds/V01L01/V1L1-01.wav,Pron.,,,,,,我,私,I; me,je ; moi,ང་བོད་པ་ཡིན།,我是藏族人。,私はチベット人です。,I am tibetan.,Je suis tibétain.
ཁྱེད་རང་།,V01-L01,./sounds/V01L01/V1L1-02.wav,Pron.,,,,,,你,あなた,you (honorific) ; you,vous (honorifique) ; tu,ཁྱེད་རང་གི་མིང་ལ་ག་རེ་ཟེར་ཀྱི་ཡོད་རེད།,你叫什么名字？,お名前は何ですか？,What is your name?,Comment vous appellez-vous?
ཁོང་།,V01-L01,./sounds/V01L01/V1L1-03.wav,Pron.,,,,,,他；他,彼、彼女,he; she; him; her,il ; lui ; elle,,,,,
ཁོང་ཚོ།,V01-L01,./sounds/V01L01/V1L1-04.wav,Pron.,,,,,,他们,彼ら,they; them,ils ; eux ; elles,,,,,
ཁོད་གི,V01-L01,./sounds/V01L01/V1L1-05.wav,Det.,,,,,,他的,彼の,his ; her,a lui ; de lui ; sien,,,,,
མིང་།,V01-L01,./sounds/V01L01/V1L1-06.wav,N.,,,,,,名字,名前,name,nom,,,,,
ལྷ་ས།,V01-L01,./sounds/V01L01/V1L1-07.wav,P.N.,,,,,,拉萨,ラサ,Lhasa,Lhassa,,,,,
བོད།,V01-L01,./sounds/V01L01/V1L1-08.wav,P.N.,,,,,,西藏,チベット,Tibet,Tibet,,,,,
བོད་པ།,V01-L01,./sounds/V01L01/V1L1-09.wav,N.,,,,,,西藏人,チベット人,Tibetan,tibétain,,,,,
བསྡད་ས།,V01-L01,./sounds/V01L01/V1L1-10.wav,N.,བསྡད་(live)+ས་(place),,,,,居住地,居住地,living place,lieu de résidence,,,,,
སློབ་གྲྭ།,V01-L01,./sounds/V01L01/V1L1-11.wav,N.,,,,,,学校,学校,school,école,,,,,
སློབ་གྲྭ་བ།,V01-L01,./sounds/V01L01/V1L1-12.wav,N.,,,,,,学生,学生,student,étudiant,,,,,
དགེ་རྒན།,V01-L01,./sounds/V01L01/V1L1-13.wav,N.,,,,,,老师,先生,teacher,professeur,,,,,
ཡི་གེ།,V01-L01,./sounds/V01L01/V1L1-14.wav,N.,,,,,,字,文字,letter,lettre,,,,,
སུ།,V01-L01,./sounds/V01L01/V1L1-15.wav,Pron.Interg,,,,,,谁,だれ,who,qui,,,,,
ག་རེ།,V01-L01,./sounds/V01L01/V1L1-16.wav,Pron.Interg,,,,,,什么,なに,what,quoi,,,,,
ག་ནས།,V01-L01,./sounds/V01L01/V1L1-17.wav,Pron.Interg,,,,,,从哪里,どこから,from where,d'où,,,,,
ག་པར།,V01-L01,./sounds/V01L01/V1L1-18.wav,Pron.Interg,,,,,,哪里,どこ,where,où,,,,,
ནས།,V01-L01,./sounds/V01L01/V1L1-19.wav,Part.Nom,,,,,,从…...,～から,from,de,,,,,
ལ།,V01-L01,./sounds/V01L01/V1L1-20.wav,Part.Nom,,,,,,在……；给…...,～で、～に,in; at,dans ; à ; pour,,,,,
ཡིན།,V01-L01,./sounds/V01L01/V1L1-21.wav,Cop.,,,,,,是（自我）,です（自己）,to be (egophoric),être (égophorique),,,,,
ཡིན་ནྰ།,V01-L01,./sounds/V01L01/V1L1-22.wav,Cop.,,,,,,是…...吧,ですよね,,je me demande + être,,,,,
ཡིན་པས།,V01-L01,./sounds/V01L01/V1L1-23.wav,Cop.,,,,,,是……吗,ですか,,,,,,,
རེད།,V01-L01,./sounds/V01L01/V1L1-24.wav,Cop.,,,,,,是（事实）,です（事実）,to be (factual),être (factuel),,,,,
རེད་པས།,V01-L01,./sounds/V01L01/V1L1-25.wav,Cop.,,,,,,是……吗,ですか,,,,,,,
ཡོད།,V01-L01,./sounds/V01L01/V1L1-26.wav,Exist,,,,,,有（自我）,ある（自己）,to have (egophoric),avoir (égophorique),,,,,
ཟེར་བ།,V01-L01,./sounds/V01L01/V1L1-27.wav,V.,,,,,,叫,と申する,to be called,s'appeler ; se dire,,,,,
སྐུ་ཁམས་བཟང་།,V01-L01,./sounds/V01L01/V1L1-33.wav,Phat.,,,,,,你好,こんにちは,hello,bonjour,,,,,
ར་མ།,V01-L02,,N.,,,,,,山羊,やぎ,goat,chèvre,,,,,
རི།,V01-L02,,N.,,,,,,山羊,山,mountain,montagne,,,,,
གྲོགས་པོ།,V01-L02,,N.,,,,,,（男性）朋友,（男性の）友達,friend (m.),ami,,,,,
གྲོགས་མོ།,V01-L02,,N.,,,,,,（女性）朋友,（女性の）友達,friend (f.),amie,,,,,
དུས་ཚོད།,V01-L02,,N.,,,,,,时间,時間,time,temps,,,,,
ཆུ་ཚོད།,V01-L02,,N.,,,,,,……点；表,～時、時計,hour; watch,heure ; montre,,,,,
ཉི་མ།,V01-L02,,N.,,,,,,太阳；天,太陽、日,sun; day,soleil ; jour,,,,,
ཧྥ་རན་སི།,V01-L02,,P.N.,,,,,,法国,フランス,France,France,,,,,
བྱང་ཐང་།,V01-L02,,P.N.,,,,,,羌塘,チャンタン,Changthang,Changthang,,,,,
བདེ་པོ།,V01-L02,,Adj.,,,,,,好；舒适,いい、気持ちよい,well; good; confortable,bien ; en bonne santé ; confortable,,,,,
གཅིག,V01-L02,,Num.,,,,,,一,一,one,un,,,,,
གཉིས།,V01-L02,,Num.,,,,,,二,二,two,deux,,,,,
གསུམ།,V01-L02,,Num.,,,,,,三,三,three,trois,,,,,
བཞི།,V01-L02,,Num.,,,,,,四,四,four,quatre,,,,,
བདུན།,V01-L02,,Num.,,,,,,七,七,seven,sept,,,,,
དགུ,V01-L02,,Num.,,,,,,九,九,nine,neuf,,,,,
བཅུ།,V01-L02,,Num.,,,,,,十,十,ten,dix,,,,,
འདི།,V01-L02,,Dem.,,,,,,这；这个,この、これ,this; this one,ce ; ceci,,,,,
འདི་ལ།,V01-L02,,Dem.,,,,,,这里,ここに、ここで,here,ici,,,,,
འདིར།,V01-L02,,Dem.,,,,,,这里,ここに、ここで,here,ici,,,,,
སང་ཉིན།,V01-L02,,N.,,,,,,明天,あした,tomorrow,demain,,,,,
དེང་སང་།,V01-L02,,N.,,,,,,现在,今、現在,now; right now,ces temps-ci ; actuellement,,,,,
འོ་ན།,V01-L02,,Conj.,,,,,,因此；所以,ですから,so; then,donc ; alors ; par conséquent,,,,,
ཨ་ནི།,V01-L02,,Conj.,,,,,,然后,これから,and; then; so,et ; et puis ; et donc,,,,,
དང་།,V01-L02,,Part.Nom,,,,,,和,と,and,et,,,,,
ཡང་།,V01-L02,,Part.Nom,,,,,,也,も,too,aussi,,,,,
ཀྱང་།,V01-L02,,Part.Nom,,,,,,也,も,too,aussi,,,,,
ཡོན་ནའང་།,V01-L02,,Conj.,,,,,,但是,しかし,but,mais,,,,,
ཨ་ལའི།,V01-L02,,Conj.,,,,,,哦~,そうです,well,ah bon,,,,,
འགྲིག་པ།,V01-L02,,Adj.,,,,,,可以,いい,fine,être d'accord ; convenir,,,,,
མཇལ་བ།,V01-L02,,V.Hon,,,,,,见面（敬语）,伺う,to meet (hon.),rencontrer (hon.),,,,,
མི།,V01-L03,,N.,,,,,,人,人,man; person,homme ; personne,,,,,
ནང་མི།,V01-L03,,N.,ནང་(inside)+མི་(person),,,,,家人,家族,family member,membre de la famille,,,,,
མི་ཚང་།,V01-L03,,N.,མི་(person)+ཚང་(nest),,,,,家庭,家庭,family,famille ; foyer,,,,,
ཕ་མ།,V01-L03,,N.,ཕ་(father)+མ་(mother),,,,,父母,両親,parents,parents,,,,,
པ་ཕ།,V01-L03,,N.,,,,,,父亲,父親,father; sir,père ; monsieur,,,,,
པྰ་ལགས།,V01-L03,,N.Hon,,,,,,父亲,お父さん,father; sir,père ; monsieur,,,,,
ཨ་མ།,V01-L03,,N.,,,,,,母亲,母親,mother; ma'am,mère ; madame,,,,,
ཨ་མ་ལགས།,V01-L03,,N.Hon,,,,,,母亲,お母さん,mother; ma'am,mère ; madame,,,,,
སྤོ་སྤོ།,V01-L03,,N.,,,,,,（外）祖父,お爺さん,grandfather; sir,grand-père ; monsieur,,,,,
སྤོ་བོ་ལགས།,V01-L03,,N.Hon,,,,,,（外）祖父,お爺さん,grandfather; sir,grand-père ; monsieur,,,,,
རྨོ་རྨོ།,V01-L03,,N.,,,,,,（外）祖母,お婆さん,grandmother; ma'am,grand-mère ; madame,,,,,
རྨོ་བོ་ལགས།,V01-L03,,N.Hon,,,,,,（外）祖母,お婆さん,grandmother; ma'am,grand-mère ; madame,,,,,
སྤོ་སྤོ་རྨོ་རྨོ།,V01-L03,,N.,,,,,,（外）祖父母,祖父母,grandparents,grands-parents,,,,,
ཨ་ཅག,V01-L03,,N.,,,,,,姐姐,姉,elder sister; ma'am,grande sœur ; madame,,,,,
ཨ་ཅག་ལགས།,V01-L03,,N.Hon,,,,,,姐姐,お姉さん,elder sister; ma'am,grande sœur ; madame,,,,,
ཅོ་ཅོག,V01-L03,,N.,,,,,,哥哥,兄,elder brother; sir,grand frère ; monsieur,,,,,
ཇོ་ལགས།,V01-L03,,N.Hon,,,,,,哥哥,お兄さん,elder brother; sir,grand frère ; monsieur,,,,,
ཨ་ཁུ།,V01-L03,,N.,,,,,,伯伯；叔叔,おじさん,paternal uncle,oncle paternel,,,,,
ཨ་ཁུ་ལགས།,V01-L03,,N.Hon,,,,,,伯伯；叔叔,おじさん,paternal uncle,oncle paternel,,,,,
ཨ་ཞང་།,V01-L03,,N.,,,,,,舅舅,おじさん,maternal uncle,oncle maternel,,,,,
ཞང་ཞང་།,V01-L03,,N.,,,,,,舅舅,おじさん,maternal uncle,oncle maternel,,,,,
ཨ་ཞང་ལགས།,V01-L03,,N.Hon,,,,,,舅舅,おじさん,maternal uncle,oncle maternel,,,,,
ཨ་ནེ།,V01-L03,,N.,,,,,,姑姑；婶婶,おばさん,paternal aunt,tante paternelle,,,,,
ཨ་ནེ་ལགས།,V01-L03,,N.Hon,,,,,,姑姑；婶婶,おばさん,paternel aunt,tante paternelle,,,,,
སྲུ་མོ།,V01-L03,,N.,,,,,,姨母,おばさん,maternal aunt,tante maternelle,,,,,
སྲུ་མོ་ལགས།,V01-L03,,N.Hon,,,,,,姨母,おばさん,maternal aunt,tante maternelle,,,,,
ཕྲུ་གུ།,V01-L03,,N.,,,,,,孩子,子供,child,enfant,,,,,
བུ།,V01-L03,,N.,,,,,,儿子；男孩,息子、男の子,son; boy,fils ; garçon,,,,,
བུ་མོ།,V01-L03,,N.,,,,,,女儿；女孩,娘、女の子,daughter; girl,fille,,,,,
ཚ་བོ།,V01-L03,,N.,,,,,,（外）孙；侄子；外甥,孫、甥,grandson; nephew,petit-fils ; neveu,,,,,
ཚ་མོ།,V01-L03,,N.,,,,,,（外）孙女；侄女；外甥女,孫、姪,granddaughter; niece,petite-fille ; nièce,,,,,
འོག་མ།,V01-L03,,N.,,,,,,弟弟；妹妹,弟、妹,younger brother,petit-frère ; petite sœur,,,,,
ཨོའོ་ལགས།,V01-L03,,N.Hon,,,,,,弟弟；妹妹,弟さん、妹さん,younger brother,petit-frère ; petite sœur,,,,,
ཁྱི།,V01-L03,,N.,,,,,,狗,犬,dog,chien,,,,,
ཚོང་པ།,V01-L03,,N.,,,,,,商人,商人,bussinessman,commerçant,,,,,
རྩོམ་པ་པོ།,V01-L03,,N.,,,,,,作家,作家,writer,écrivain,,,,,
བཟོ་པ།,V01-L03,,N.,,,,,,工人,労働者,worker,ouvrier,,,,,
ཨེམ་ཆི།,V01-L03,,N.,,,,,,医生,医者,doctor,médecin,,,,,
ཞིང་པ།,V01-L03,,N.,,,,,,农民,農民,farmer,paysan ; agriculteur,,,,,
བླ་མ།,V01-L03,,N.,,,,,,喇嘛,ラマ,Lamo,Lama,,,,,
ཀུ་ཤུ,V01-L03,,N.,,,,,,苹果,リンゴ,apple,pomme,,,,,
མེ་ཏོག,V01-L03,,N.,མེ་(fire)+ཏོག(point),,,,,花,花,flower,fleur,,,,,
ཆེ་བ།,V01-L03,,Adj.,,,,,,年长的,年上,elder,ainé,,,,,
རྒན་པ།,V01-L03,,Adj.,,,,,,年长的,年上,elder,ainé,,,,,
ཆུང་བ།,V01-L03,,Adj.,,,,,,年幼的,年下,younger,cadet,,,,,
གཞོན་པ།,V01-L03,,Adj.,,,,,,年幼的,年下,younger,cadet,,,,,
དཀར་པོ།,V01-L03,,Adj.,,,,,,白色,白い,white,blanc,,,,,
བལྟ།,V01-L00,,V.,,བལྟས།,ལྟ།,བལྟ།,ལྟོས།,看,見る,look,regarder,དཔེ་ཆ་བལྟ་གི་ཡོད།,我在看书。,本を読んでいます。,I am reading a book.,Je regarde le livre.
ལྷ།,V01-L04,,N.,,,,,,神,神,god,divinité,,,,,
གཡག,V01-L04,,N.,,,,,,牦牛,ヤク,yak,yak,,,,,
རྟ།,V01-L04,,N.,,,,,,马,馬,horse,cheval,,,,,
འགྲོག་པ།,V01-L04,,N.,,,,,,牧民,遊牧民,herdsman,éleveur nomade,,,,,
རྡོ།,V01-L04,,N.,,,,,,石头,石,stone,pierre,,,,,
ལི་ཐང་།,V01-L04,,P.N.,,,,,,理塘,リタン,Lithang,Lithang,,,,,
ཁམས།,V01-L04,,P.N.,,,,,,康区,カム,Kham,Kham,,,,,
ས་ཆ།,V01-L04,,N.,,,,,,地方,所,place,lieu,,,,,
ཕ་ཡུལ།,V01-L04,,N.,,,,,,故乡,故郷,hometown,pays ; région d'origine,,,,,
རྩེ།,V01-L04,,N.,,,,,,峰,峰,sommet,sommet,,,,,
རི་རྩེ།,V01-L04,,N.,,,,,,山峰,山の峰,montain sommet,sommet de la montagne,,,,,
མཚོ།,V01-L04,,N.,,,,,,湖,湖,lake,lac,,,,,
ཤ,V01-L04,,N.,,,,,,肉,肉,meat,viande,,,,,
དཀར་ཡོལ།,V01-L04,,N.,,,,,,茶杯,茶碗,cup,tasse,,,,,
ལྡེ་མིག,V01-L04,,N.,,,,,,钥匙,鍵,key,clé,,,,,
སོ།,V01-L04,,N.,,,,,,牙齿,歯,tooth,dent,,,,,
སྣ་ཁུག,V01-L04,,N.,,,,,,鼻子,鼻,nose,nez,,,,,
